whisky galore!,compton mackenzie,farce
aquamarine,alice hoffman,fantasy
the graveyard book,neil gaiman,fantasy
shadowland,meg cabot,fantasy
no humans involved,kelley armstrong,fantasy
forest of the pygmies,isabel allende,fantasy
lion of macedon,david gemmell,fantasy
briar rose,jane yolen,fantasy
small favor,jim butcher,fantasy
book of a thousand days,shannon hale,fantasy
the book of dead days,marcus sedgwick,fantasy
singer,jean thesman,fantasy
the winter prince,elizabeth e. wein,fantasy
the day after judgment,james blish,fantasy
fire bringer,david clement-davies,fantasy
the name of the wind,patrick rothfuss,fantasy
babe & me,dan gutman,fantasy
bloodstained oz,christopher golden,fantasy
maximum ride: the final warning,james patterson,fantasy
the sterkarm handshake,susan price,fantasy
vampire of the mists,christie golden,fantasy
the mad king,edgar rice burroughs,fantasy
once upon a time in the north,philip pullman,fantasy
homebody,orson scott card,fantasy
death's shadow,darren shan,fantasy
bully and the beast,orson scott card,fantasy
the forgotten beasts of eld,patricia a. mckillip,fantasy
the dragon,ray bradbury,fantasy
chosen,ted dekker,fantasy
infidel,ted dekker,fantasy
ratha and thistle-chaser,clare bell,fantasy
gemma doyle trilogy,libba bray,fantasy
a lick of frost,laurell k. hamilton,fantasy
hero in the shadows,david gemmell,fantasy
wrath of a mad god,raymond e. feist,fantasy
faces in the moon,betty louise yates perez,fantasy
wolf island,darren shan,fantasy
the diamond of darkhold,jeanne duprau,fantasy
turn coat,jim butcher,fantasy
darkest hour,meg cabot,fantasy
dark calling,darren shan,fantasy
master of whitestorm,janny wurts,fantasy
the last olympian,rick riordan,fantasy
swallowing darkness,laurell k. hamilton,fantasy
hell's heroes,darren shan,fantasy
tamsin,peter s. beagle,fantasy
wildwood dancing,juliet marillier,fantasy
the changeover: a supernatural romance,margaret mahy,fantasy
the immortals,chris riddell,fantasy
tempted,kristin cast,fantasy
the legend of deathwalker,david gemmell,fantasy
bloodhound,tamora pierce,fantasy
set in stone,linda newbery,fantasy
a conspiracy of kings,megan whalen turner,fantasy
the court of the air,stephen hunt,fantasy
divine misdemeanors,laurell k. hamilton,fantasy
heroes of the valley,jonathan stroud,fantasy
the magicians,lev grossman,fantasy
the quest begins,cherith baldry,fantasy
burned,p. c. cast,fantasy
greylands,isobelle carmody,fantasy
finnikin of the rock,melina marchetta,fantasy
abner & me,dan gutman,fantasy
the short second life of bree tanner,stephenie meyer,fantasy
cybele's secret,juliet marillier,fantasy
finch,jeff vandermeer,fantasy
the fellowship of the ring,j. r. r. tolkien,fantasy
the lost hero,rick riordan,fantasy
the red pyramid,rick riordan,fantasy
the mad ship,robin hobb,fantasy
the whisperer,fiona mcintosh,fantasy
the son of neptune,rick riordan,fantasy
the midnight charter,david whitley,fantasy
the secret of wilhelm storitz,jules verne,fantasy
succubus heat,richelle mead,fantasy
crescendo,becca fitzpatrick,fantasy
the half-made world,felix gilman,fantasy
clockwork angel,cassandra clare,fantasy
rage,jackie kessler,fantasy
silence,becca fitzpatrick,fantasy
the magician king,lev grossman,fantasy
the habitation of the blessed,catherynne m. valente,fantasy
betrayed,p. c. cast,fantasy
chosen,kristin cast,fantasy
awakened,kristin cast,fantasy
destined,kristin cast,fantasy
modelland,tyra banks,fantasy
deerskin,robin mckinley,fantasy
supplement to the journey to the west,tong yue,fantasy
the demigod diaries,rick riordan,fantasy
beautiful creatures,margaret stohl,fantasy
beautiful chaos,gary russell,fantasy
the casual vacancy,j. k. rowling,fantasy
vice versa,thomas anstey guthrie,fantasy
the magic goes away,larry niven,fantasy
l'atlantide,pierre benoit,fantasy
la peau de chagrin,honor„© de balzac,fantasy
fengshen yanyi,xu zhonglin,fantasy
divine right's trip,gurney norman,fantasy
the deptford mice almanack,robin jarvis,fantasy
the magical monarch of mo,l. frank baum,fantasy
the enchanted wood,enid blyton,fantasy
ozoplaning with the wizard of oz,ruth plumly thompson,fantasy
the hidden valley of oz,rachel cosgrove payes,fantasy
the shaggy man of oz,jack snow,fantasy
the runaway in oz,john r. neill,fantasy
rowan of the bukshah,jennifer rowe,fantasy
tribes of redwall badgers,brian jacques,fantasy
the chosen,ricardo pinto,fantasy
the standing dead,ricardo pinto,fantasy
hunter's moon,garry kilworth,fantasy
cryptid hunters,roland smith,fantasy
pillar of fire,judith tarr,fantasy
a wizard abroad,diane duane,fantasy
wizard's holiday,diane duane,fantasy
trollslayer,william king,fantasy
the two princesses of bamarre,gail carson levine,fantasy
dissolution,richard lee byers,fantasy
insurrection,thomas m. reid,fantasy
ascendance,robert anthony salvatore,fantasy
chandrakanta,devaki nandan khatri,fantasy
artemis fowl: the seventh dwarf,eoin colfer,fantasy
inside outside,philip jos„© farmer,fantasy
wild energy,marina and sergey dyachenko,fantasy
chaotic,kelley armstrong,fantasy
pendragon book 8,d.j. machale,fantasy
bearing an hourglass,piers anthony,fantasy
being a green mother,piers anthony,fantasy
for love of evil,piers anthony,fantasy
and eternity,piers anthony,fantasy
atla - a story of the lost island,anne eliza smith,fantasy
magic moon,wolfgang hohlbein,fantasy
redwall map & riddler,brian jacques,fantasy
redwall friend & foe,brian jacques,fantasy
shroud of shadow,gael baudino,fantasy
the thirteen and a half lives of captain bluebear,walter moers,fantasy
sebastian,anne bishop,fantasy
terrier,tamora pierce,fantasy
the kouga ninja scrolls,futaro yamada,fantasy
dragon raja,lee yeongdo,fantasy
shadow moon,chris claremont,fantasy
the viscount of adrilankha,steven brust,fantasy
only human,eileen wilks,fantasy
lammas night,katherine kurtz,fantasy
mr. tinker in oz,james howe,fantasy
world of warcraft: tides of darkness,aaron s. rosenberg,fantasy
the metal monster,a. merritt,fantasy
moribito: guardian of the spirit,nahoko uehashi,fantasy
seeker,william nicholson,fantasy
the island of the mighty,evangeline walton,fantasy
the sorcerer's ship,hannes bok,fantasy
beyond the golden stair,hannes bok,fantasy
the lost continent: the story of atlantis,c j cutcliffe hyne,fantasy
love and war,margaret weis,fantasy
the cry of the icemark,stuart hill,fantasy
fablehaven: rise of the evening star,brandon mull,fantasy
fablehaven: grip of the shadow plague,brandon mull,fantasy
fall of a kingdom,hilari bell,fantasy
children of magic moon,wolfgang hohlbein,fantasy
the twelve kingdoms: sea of shadow,fuyumi ono,fantasy
sir harold and the gnome king,l. sprague de camp,fantasy
jango,william nicholson,fantasy
wanderlust,steve winter,fantasy
pool of twilight,jim ward,fantasy
tear of the gods,raymond e. feist,fantasy
yankee in oz,ruth plumly thompson,fantasy
noman,william nicholson,fantasy
nightmare academy,dean lorey,fantasy
inheritance,christopher paolini,fantasy
the dream merchant,isabel hoving,fantasy
poison study,maria v. snyder,fantasy
the twelve kingdoms: sea of wind,fuyumi ono,fantasy
noonshade,james barclay,fantasy
tros of samothrace,talbot mundy,fantasy
purple pirate,talbot mundy,fantasy
prince of the blood,raymond e. feist,fantasy
the king's buccaneer,raymond e. feist,fantasy
the mislaid charm,alexander m. phillips,fantasy
the innocent mage,karen miller,fantasy
empress of mijak,karen miller,fantasy
the homunculus,david h. keller,fantasy
the riven kingdom,karen miller,fantasy
the eternal conflict,david h. keller,fantasy
the lady decides,david h. keller,fantasy
belladonna,anne bishop,fantasy
kinsmen of the dragon,stanley mullen,fantasy
against all things ending,stephen r. donaldson,fantasy
drome,john martin leahy,fantasy
dwellers in the mirage,a. merritt,fantasy
sasquatch,roland smith,fantasy
the temple of the ten,h. bedford-jones,fantasy
fields of sleep,e. c. vivian,fantasy
durandal,harold lamb,fantasy
as it is written,de lysle ferree cass,fantasy
the hundred-year christmas,david morrell,fantasy
general winston's daughter,sharon shinn,fantasy
the magician out of manchuria,charles g. finney,fantasy
the face in the abyss,a. merritt,fantasy
beauty: a retelling of the story of beauty and the beast,robin mckinley,fantasy
feast of souls,celia s. friedman,fantasy
two to the fifth,piers anthony,fantasy
knot gneiss,piers anthony,fantasy
escape from hell,jerry pournelle,fantasy
swords and deviltry,fritz leiber,fantasy
magic study,maria v. snyder,fantasy
shadow of a dark queen,raymond e. feist,fantasy
expiration date,tim powers,fantasy
the sable quean,brian jacques,fantasy
the wicked witch of oz,rachel cosgrove payes,fantasy
the rundelstone of oz,eloise mcgraw,fantasy
paradox in oz,edward einhorn,fantasy
policeman bluejay,l. frank baum,fantasy
castle storm,garry kilworth,fantasy
krondor: the betrayal,raymond e. feist,fantasy
the kings of clonmel,john flanagan,fantasy
the phoenix unchained,mercedes lackey,fantasy
kairo-kÂç,soseki natsume,fantasy
the kingdom of shadow,richard a. knaak,fantasy
royal exile,fiona mcintosh,fantasy
blood and memory,fiona mcintosh,fantasy
the dragon jousters series,mercedes lackey,fantasy
last battle of the icemark,stuart hill,fantasy
the soldiers of halla,d.j. machale,fantasy
the snow queen,mercedes lackey,fantasy
moon of the spider,richard a. knaak,fantasy
the wings of merlin,t. a. barron,fantasy
the eye of the forest,philip kerr,fantasy
syren,angie sage,fantasy
the white road,lynn flewelling,fantasy
the legend of sigurd and gudr„∫n,christopher tolkien,fantasy
alcatraz versus the scrivener's bones,brandon sanderson,fantasy
dark fire,chris d'lacey,fantasy
horizon,lois mcmaster bujold,fantasy
wings of wrath,celia s. friedman,fantasy
times of contempt,andrzej sapkowski,fantasy
the magician's apprentice,trudi canavan,fantasy
lion of senet,jennifer fallon,fantasy
eye of the labyrinth,jennifer fallon,fantasy
the iron tree,cecilia dart-thornton,fantasy
shadow's edge,brent weeks,fantasy
fablehaven: secrets of the dragon sanctuary,brandon mull,fantasy
the haunted woman,david lindsay,fantasy
when the birds fly south,stanton a. coblentz,fantasy
the twelve kingdoms: skies of dawn,fuyumi ono,fantasy
the gathering storm,brandon sanderson,fantasy
the green child,herbert read,fantasy
sea dragon heir,storm constantine,fantasy
rise of a merchant prince,raymond e. feist,fantasy
werewolf versus dragon,matthew morgan,fantasy
cavern of the fear,jennifer rowe,fantasy
the book of atrix wolfe,patricia a. mckillip,fantasy
sir harold of zodanga,l. sprague de camp,fantasy
the indigo king,james a. owen,fantasy
the shadow dragons,james a. owen,fantasy
evermore,alyson noel,fantasy
dragon keeper,robin hobb,fantasy
warbreaker,brandon sanderson,fantasy
pool of radiance,jim ward,fantasy
the first two lives of lukas-kasha,lloyd alexander,fantasy
the knight,gene wolfe,fantasy
a stranger to command,sherwood smith,fantasy
ratha's courage,clare bell,fantasy
the forest king,paul b. thompson,fantasy
blue moon,alyson noel,fantasy
dragons of the hourglass mage,margaret weis,fantasy
a wizard of mars,diane duane,fantasy
amber and blood,margaret weis,fantasy
the quest of kadji,lin carter,fantasy
what dreams may come,manly wade wellman,fantasy
dragon age: the stolen throne,david gaider,fantasy
a princess of landover,terry brooks,fantasy
the other lands,david anthony durham,fantasy
fablehaven: keys to the demon prison,brandon mull,fantasy
